Date,index,Open,High,Low,Close,Volume,Bid1_Price,Bid1_Quantity,Ask1_Price,Ask1_Quantity,Bid2_Price,Bid2_Quantity,Ask2_Price,Ask2_Quantity,Bid3_Price,Bid3_Quantity,Ask3_Price,Ask3_Quantity,Bid4_Price,Bid4_Quantity,Ask4_Price,Ask4_Quantity,Bid5_Price,Bid5_Quantity,Ask5_Price,Ask5_Quantity
2023-05-27 17:20:00,0,26675.98,26675.98,26675.97,26675.98,5.46986,26675.97000000,4.81453000,26675.98000000,2.54843000,26675.96000000,2.23130000,26675.99000000,0.55320000,26675.93000000,0.00416000,26676.00000000,0.09244000,26675.90000000,0.04900000,26676.02000000,0.00356000,26675.82000000,0.00176000,26676.06000000,0.18401000
2023-05-27 17:21:00,0,26669.91,26669.92,26669.91,26669.91,3.40667,26669.91000000,1.56626000,26669.92000000,6.87715000,26669.83000000,0.33219000,26669.96000000,0.00061000,26669.53000000,0.00663000,26670.09000000,0.41243000,26669.39000000,0.00066000,26670.32000000,0.01793000,26668.94000000,0.02395000,26670.43000000,0.00066000
2023-05-27 17:22:00,0,26668.34,26668.34,26666.54,26666.54,2.54318,26666.54000000,7.01581000,26666.55000000,3.75961000,26666.52000000,0.31585000,26666.57000000,0.01318000,26666.32000000,0.00100000,26666.66000000,0.03748000,26666.27000000,0.00198000,26666.69000000,0.09828000,26666.22000000,0.03749000,26666.74000000,0.06769000
2023-05-27 17:23:00,0,26668.33,26668.33,26668.32,26668.32,2.65257,26668.32000000,5.65974000,26668.33000000,3.02137000,26668.16000000,0.00815000,26668.34000000,0.53966000,26668.09000000,0.05577000,26668.35000000,0.13890000,26668.08000000,0.07525000,26668.43000000,0.05041000,26668.07000000,0.70264000,26668.44000000,0.01875000
2023-05-27 17:24:00,0,26668.33,26668.33,26668.32,26668.32,0.20476,26668.32000000,5.76867000,26668.33000000,0.83069000,26668.16000000,0.00815000,26668.34000000,0.87755000,26668.10000000,0.95928000,26668.35000000,0.13890000,26668.09000000,0.05577000,26668.42000000,0.40316000,26668.07000000,0.45901000,26668.51000000,0.11629000
2023-05-27 17:25:00,0,26668.33,26668.34,26668.33,26668.33,0.83238,26668.33000000,6.30069000,26668.34000000,0.74606000,26668.32000000,1.28126000,26668.35000000,0.13890000,26668.16000000,0.00815000,26668.36000000,0.01721000,26668.09000000,0.05577000,26668.40000000,0.44613000,26668.07000000,0.45901000,26668.41000000,0.59591000
2023-05-27 17:26:00,0,26668.33,26672.18,26668.33,26672.18,1.51697,26672.18000000,8.49454000,26672.19000000,0.14996000,26672.17000000,0.60923000,26672.49000000,0.00038000,26672.07000000,0.01882000,26672.51000000,0.00066000,26672.06000000,1.98930000,26672.57000000,0.00187000,26671.98000000,0.48284000,26672.61000000,0.00642000
2023-05-27 17:27:00,0,26674.51,26674.51,26674.5,26674.5,0.55656,26674.50000000,7.96124000,26674.51000000,0.47685000,26674.48000000,0.14400000,26674.53000000,0.15163000,26674.44000000,0.29772000,26674.54000000,0.37532000,26674.28000000,0.03747000,26674.58000000,0.00798000,26674.18000000,0.04900000,26674.59000000,0.30926000
2023-05-27 17:28:00,0,26676.9,26676.9,26676.23,26676.23,1.09822,26676.23000000,0.15287000,26676.24000000,8.31854000,26676.15000000,0.00066000,26676.28000000,0.02212000,26675.95000000,0.00044000,26676.29000000,1.20040000,26675.90000000,0.00630000,26676.30000000,0.64527000,26675.63000000,0.00066000,26676.42000000,0.47731000
2023-05-27 17:29:00,0,26675.17,26675.17,26674.36,26674.37,0.78373,26674.36000000,1.08233000,26674.37000000,5.82460000,26674.35000000,0.22038000,26674.41000000,0.01027000,26674.26000000,0.28648000,26674.49000000,0.71397000,26674.25000000,0.51201000,26674.50000000,0.71468000,26674.24000000,0.49492000,26674.55000000,0.04609000
