Date,Open,High,Low,Close,Volume
2023-05-01 00:00:00,29233.20000000,29297.89000000,29215.93000000,29297.15000000,469.94863000
2023-05-01 00:05:00,29297.15000000,29320.00000000,29281.14000000,29311.59000000,209.56375000
2023-05-01 00:10:00,29311.58000000,29318.99000000,29269.73000000,29290.03000000,105.02753000
2023-05-01 00:15:00,29290.03000000,29318.98000000,29277.16000000,29277.16000000,112.50741000
2023-05-01 00:20:00,29277.17000000,29298.17000000,29270.84000000,29296.35000000,89.82546000
2023-05-01 00:25:00,29296.36000000,29314.94000000,29265.24000000,29301.74000000,187.72312000
2023-05-01 00:30:00,29301.75000000,29306.38000000,29285.73000000,29298.52000000,106.16290000
2023-05-01 00:35:00,29298.53000000,29309.73000000,29291.17000000,29306.31000000,119.37895000
2023-05-01 00:40:00,29306.30000000,29306.31000000,29280.28000000,29303.77000000,163.42687000
2023-05-01 00:45:00,29303.76000000,29337.34000000,29281.64000000,29316.83000000,177.35853000
2023-05-01 00:50:00,29316.83000000,29324.48000000,29285.62000000,29285.63000000,77.24090000
2023-05-01 00:55:00,29285.62000000,29315.57000000,29285.62000000,29315.57000000,66.67638000
2023-05-01 01:00:00,29315.57000000,29315.57000000,29300.53000000,29311.70000000,57.85298000
2023-05-01 01:05:00,29311.70000000,29311.70000000,29282.41000000,29285.13000000,76.66637000
2023-05-01 01:10:00,29285.13000000,29285.15000000,29243.79000000,29257.46000000,72.28600000
2023-05-01 01:15:00,29257.46000000,29273.77000000,29218.00000000,29218.01000000,202.16019000
2023-05-01 01:20:00,29218.00000000,29241.82000000,29191.41000000,29200.42000000,140.08472000
2023-05-01 01:25:00,29200.43000000,29253.96000000,29189.15000000,29253.96000000,100.17702000
2023-05-01 01:30:00,29253.96000000,29260.04000000,29233.43000000,29233.44000000,94.66066000
2023-05-01 01:35:00,29233.44000000,29234.24000000,28686.80000000,28780.04000000,2262.15761000
2023-05-01 01:40:00,28780.04000000,28807.49000000,28631.36000000,28677.10000000,1366.15080000
2023-05-01 01:45:00,28677.10000000,28696.85000000,28601.28000000,28679.99000000,870.38894000
2023-05-01 01:50:00,28680.00000000,28684.79000000,28369.95000000,28485.34000000,2070.16903000
2023-05-01 01:55:00,28485.34000000,28515.33000000,28411.40000000,28504.36000000,662.93350000
2023-05-01 02:00:00,28504.36000000,28624.99000000,28414.00000000,28600.01000000,881.87870000
2023-05-01 02:05:00,28600.02000000,28609.18000000,28554.21000000,28596.30000000,633.94539000
2023-05-01 02:10:00,28596.31000000,28680.38000000,28566.71000000,28635.48000000,423.54075000
